g band,r band,age [Gyr]
-9.17594,-9.920362,4.872337511059678
-8.182652,-8.967084,7.16042292473643
-8.421557,-9.195039,6.539335878030733
-8.365088,-9.12403,5.570687375457901
-8.704256,-9.447157,4.8130888119896245
-9.362243,-10.105359,4.821481117175532
-8.6331215,-9.415965,7.066392314602138
-8.527282,-9.300198,6.507412397869783
-8.058435,-8.830742,6.473078861299157
-8.815022,-9.573169,5.5277904900201555
-7.9553347,-8.716879,5.716359052949851
-8.429562,-9.182476,5.256467698460863
-7.9643855,-8.733929,6.3037430074040355
-8.061229,-8.946085,6.919257940464109
-8.213666,-8.997928,7.151297394162868
-9.071508,-9.814747,4.826186734212486
-8.5920725,-9.337175,4.899016963000417
